seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender
1335,1485,Closed,321,7/30/2011 15:48,25,7/30/2011 15:53,36,B00329,Casual,,,
1336,1486,Closed,414,7/30/2011 15:49,46,7/30/2011 15:56,33,B00370,Registered,'02139,1979,1
1337,1487,Closed,595,7/30/2011 15:52,42,7/30/2011 16:02,21,B00200,Casual,,,
1338,1488,Closed,614,7/30/2011 15:52,42,7/30/2011 16:02,21,B00220,Casual,,,
1339,1490,Closed,763,7/30/2011 15:52,35,7/30/2011 16:05,50,B00316,Casual,,,
1340,1491,Closed,13459,7/30/2011 15:53,36,7/30/2011 19:37,36,B00465,Casual,,,
1341,1492,Closed,346,7/30/2011 15:52,9,7/30/2011 15:58,10,B00284,Casual,,,
1342,1493,Closed,4359,7/30/2011 15:54,36,7/30/2011 17:07,36,B00240,Casual,,,
1343,1494,Closed,4352,7/30/2011 15:54,36,7/30/2011 17:07,36,B00329,Casual,,,
1344,1495,Closed,1541,7/30/2011 15:54,53,7/30/2011 16:19,53,B00087,Registered,'02215,1962,1
1345,1496,Closed,1436,7/30/2011 15:55,23,7/30/2011 16:19,34,B00151,Casual,,,
1346,1497,Closed,1314,7/30/2011 15:55,38,7/30/2011 16:17,42,B00279,Casual,,,
1347,1498,Closed,1326,7/30/2011 15:55,38,7/30/2011 16:17,42,B00389,Casual,,,
1348,1499,Closed,1557,7/30/2011 15:58,10,7/30/2011 16:24,10,B00284,Casual,,,
1349,1500,Closed,854,7/30/2011 15:57,36,7/30/2011 16:12,35,B00152,Casual,,,
1350,1501,Closed,938,7/30/2011 15:57,50,7/30/2011 16:13,48,B00539,Registered,'02109,1976,2
1351,1502,Closed,1527,7/30/2011 15:59,10,7/30/2011 16:25,10,B00063,Casual,,,
1352,1503,Closed,5703,7/30/2011 16:00,36,7/30/2011 17:35,38,B00134,Casual,,,
1353,1504,Closed,5644,7/30/2011 16:00,36,7/30/2011 17:34,38,B00299,Casual,,,
1354,1505,Closed,815,7/30/2011 16:00,41,7/30/2011 16:14,52,B00359,Casual,,,
1355,1506,Closed,695,7/30/2011 16:00,37,7/30/2011 16:12,37,B00061,Registered,'02135,1951,2
1356,1507,Closed,13696,7/30/2011 16:04,9,7/30/2011 19:52,9,B00492,Casual,,,
1357,1508,Closed,13741,7/30/2011 16:04,9,7/30/2011 19:53,9,B00394,Casual,,,
1358,1509,Closed,1307,7/30/2011 16:03,36,7/30/2011 16:25,36,B00216,Casual,,,
1359,1510,Closed,1385,7/30/2011 16:02,23,7/30/2011 16:26,24,B00142,Casual,,,
1360,1511,Closed,1298,7/30/2011 16:03,36,7/30/2011 16:25,36,B00251,Casual,,,
1361,1512,Closed,2394,7/30/2011 16:03,41,7/30/2011 16:43,36,B00411,Casual,,,
1362,1513,Closed,1355,7/30/2011 16:03,23,7/30/2011 16:25,24,B00478,Casual,,,
1363,1514,Closed,2353,7/30/2011 16:04,41,7/30/2011 16:43,36,B00052,Casual,,,
1364,1515,Closed,1682,7/30/2011 16:06,42,7/30/2011 16:34,20,B00028,Casual,,,
1365,1516,Closed,5688,7/30/2011 16:05,9,7/30/2011 17:40,9,B00364,Casual,,,
1366,1517,Closed,2254,7/30/2011 16:06,41,7/30/2011 16:43,36,B00499,Casual,,,
1367,1518,Closed,2221,7/30/2011 16:06,41,7/30/2011 16:43,36,B00115,Casual,,,
1368,1519,Closed,1253,7/30/2011 16:08,12,7/30/2011 16:29,36,B00095,Casual,,,
1369,1520,Closed,2119,7/30/2011 16:07,41,7/30/2011 16:43,36,B00474,Casual,,,
1370,1521,Closed,1278,7/30/2011 16:08,12,7/30/2011 16:29,36,B00120,Casual,,,
1371,1522,Closed,6079,7/30/2011 16:08,41,7/30/2011 17:50,22,B00431,Casual,,,
1372,1523,Closed,6065,7/30/2011 16:08,41,7/30/2011 17:49,22,B00546,Casual,,,
1373,1524,Closed,1693,7/30/2011 16:09,50,7/30/2011 16:37,16,B00321,Casual,,,
1374,1525,Closed,1513,7/30/2011 16:09,42,7/30/2011 16:34,20,B00424,Casual,,,
1375,1526,Closed,512,7/30/2011 16:10,47,7/30/2011 16:19,47,B00157,Casual,,,
1376,1527,Closed,1292,7/30/2011 16:12,22,7/30/2011 16:33,23,B00066,Casual,,,
1377,1528,Closed,1280,7/30/2011 16:12,22,7/30/2011 16:33,23,B00392,Casual,,,
1378,1529,Closed,1063,7/30/2011 16:11,50,7/30/2011 16:29,41,B00266,Registered,'02135,1988,1
1379,1530,Closed,515,7/30/2011 16:12,16,7/30/2011 16:20,46,B00026,Casual,,,
1380,1531,Closed,1161,7/30/2011 16:15,42,7/30/2011 16:34,44,B00413,Casual,,,
1381,1532,Closed,1137,7/30/2011 16:15,42,7/30/2011 16:34,44,B00440,Casual,,,
1382,1533,Closed,1028,7/30/2011 16:17,42,7/30/2011 16:34,44,B00023,Casual,,,
1383,1534,Closed,1033,7/30/2011 16:17,42,7/30/2011 16:34,44,B00585,Casual,,,
1384,1536,Closed,642,7/30/2011 16:17,48,7/30/2011 16:27,44,B00539,Registered,'02109,1976,2
1385,1537,Closed,383,7/30/2011 16:22,20,7/30/2011 16:28,23,B00376,Registered,'02143,1986,2
1386,1538,Closed,2317,7/30/2011 16:24,16,7/30/2011 17:03,6,B00189,Casual,,,
1387,1539,Closed,918,7/30/2011 16:23,46,7/30/2011 16:38,11,B00136,Casual,,,
1388,1540,Closed,2296,7/30/2011 16:24,16,7/30/2011 17:03,6,B00090,Casual,,,
1389,1541,Closed,1317,7/30/2011 16:26,50,7/30/2011 16:48,40,B00265,Casual,,,
1390,1542,Closed,1404,7/30/2011 16:25,22,7/30/2011 16:49,16,B00168,Casual,,,
1391,1543,Closed,1307,7/30/2011 16:26,50,7/30/2011 16:47,40,B00316,Casual,,,
1392,1544,Closed,1369,7/30/2011 16:26,22,7/30/2011 16:49,16,B00167,Casual,,,
1393,1545,Closed,1323,7/30/2011 16:26,22,7/30/2011 16:49,16,B00021,Casual,,,
1394,1546,Closed,1176,7/30/2011 16:27,42,7/30/2011 16:47,9,B00279,Casual,,,
1395,1547,Closed,419,7/30/2011 16:27,11,7/30/2011 16:34,10,B00158,Registered,'02446,1983,1
1396,1548,Closed,1444,7/30/2011 16:29,21,7/30/2011 16:53,42,B00562,Casual,,,
1397,1549,Closed,3682,7/30/2011 16:29,35,7/30/2011 17:30,36,B00349,Casual,,,
1398,1550,Closed,1443,7/30/2011 16:29,21,7/30/2011 16:53,42,B00454,Casual,,,
1399,1551,Closed,3624,7/30/2011 16:29,35,7/30/2011 17:30,36,B00083,Casual,,,
1400,1552,Closed,942,7/30/2011 16:30,46,7/30/2011 16:46,42,B00536,Casual,,,
1401,1553,Closed,950,7/30/2011 16:29,20,7/30/2011 16:45,39,B00550,Casual,,,
1402,1554,Closed,656,7/30/2011 16:30,21,7/30/2011 16:41,49,B00312,Casual,,,
1403,1555,Closed,905,7/30/2011 16:30,20,7/30/2011 16:45,39,B00490,Casual,,,
1404,1556,Closed,627,7/30/2011 16:30,21,7/30/2011 16:41,49,B00190,Casual,,,
1405,1557,Closed,1385,7/30/2011 16:32,23,7/30/2011 16:55,42,B00042,Casual,,,
1406,1558,Closed,1296,7/30/2011 16:34,36,7/30/2011 16:55,42,B00120,Casual,,,
1407,1559,Closed,5800,7/30/2011 16:32,52,7/30/2011 18:09,30,B00339,Casual,,,
1408,1560,Closed,1297,7/30/2011 16:34,36,7/30/2011 16:55,42,B00095,Casual,,,
1409,1561,Closed,5750,7/30/2011 16:33,52,7/30/2011 18:09,30,B00410,Casual,,,
1410,1562,Closed,1054,7/30/2011 16:35,32,7/30/2011 16:53,42,B00270,Casual,,,
1411,1563,Closed,1050,7/30/2011 16:35,32,7/30/2011 16:53,42,B00272,Casual,,,
1412,1564,Closed,1173,7/30/2011 16:34,21,7/30/2011 16:54,21,B00200,Registered,'02215,1977,1
1413,1565,Closed,1563,7/30/2011 16:37,23,7/30/2011 17:03,52,B00392,Casual,,,
1414,1566,Closed,1186,7/30/2011 16:37,35,7/30/2011 16:57,40,B00074,Casual,,,
1415,1567,Closed,222,7/30/2011 16:36,21,7/30/2011 16:40,25,B00342,Casual,,,
1416,1568,Closed,1182,7/30/2011 16:37,35,7/30/2011 16:57,40,B00479,Casual,,,
1417,1569,Closed,1570,7/30/2011 16:37,23,7/30/2011 17:03,52,B00066,Casual,,,
1418,1570,Closed,886,7/30/2011 16:38,13,7/30/2011 16:53,46,B00485,Casual,,,
1419,1571,Closed,2353,7/30/2011 16:38,13,7/30/2011 17:17,46,B00367,Casual,,,
1420,1572,Closed,1495,7/30/2011 16:41,52,7/30/2011 17:06,6,B00390,Casual,,,
1421,1573,Closed,1510,7/30/2011 16:41,52,7/30/2011 17:06,6,B00018,Casual,,,
1422,1575,Closed,1506,7/30/2011 16:42,32,7/30/2011 17:07,32,B00015,Casual,,,
1423,1576,Closed,1522,7/30/2011 16:42,32,7/30/2011 17:07,32,B00086,Casual,,,
1424,1577,Closed,984,7/30/2011 16:42,10,7/30/2011 16:59,36,B00284,Casual,,,
1425,1578,Closed,3784,7/30/2011 16:43,34,7/30/2011 17:46,52,B00443,Casual,,,
